case_id,URL,sentence
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"On 12th October 2004, in the Crown Court at Sheffield, in a
trial presided over by His Honour Judge Goldsack QC, the appellant was
convicted, after trial, of two counts of attempted murder."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,The second shot missed both men.
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,He denied any involvement in the shooting.
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"No express motive was
ascertained for the shooting but the judge noted that the area was
notorious for drug dealing, the inference being that it was a
deliberate attempt to kill connected with some dispute arising from
drugs."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"If the appellant had managed to kill both victims, given
the sweeping changes in sentencing for murder brought about by the
Criminal Justice Act 2003, he would have to serve a minimum of about 30
years."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"The judge noted that no provision was made for a corresponding
increase for attempted murder."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"The judge went on to say that since, in his view,
that provision applied, the effect of a sentence of 22 years would be
that the appellant would serve only a third of the appropriate
custodial term for murder; and that would be unduly lenient."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"It is conceded by Mr Tetlow that, given the
statutory framework for minimum tariffs set out in section 269 of
schedule 21 of the Criminal Justice Act 2003, the judge's conclusion
that, had the appellant killed his victims he would have been serving a
minimum period of about 30 years, is unarguable."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"The second ground of appeal which is
contentious, having regard to the submissions of the Attorney-General,
is that it was wrong for the sentencing judge to intervene to cure what
might appear to be an apparent disparity between the sentence for
attempted murder and the sentence for murder."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"He
submits that an increase in the tariff for attempted murder, judicially
introduced pending the coming into effect of those provisions, would
amount to a retrospective increase in penalty, in the absence of
express statutory language which justified such an approach."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"After careful consideration of those
submissions, it seems to us that the judge was right that a starting
point of a 30 year minimum term would have been appropriate had the
appellant been successful in either of his attempts to commit murder."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"The question therefore arises: should
the sentences for attempted murder be subject to upward adjustment to
reflect the new starting point for murders of a particularly high
degree of seriousness and, if so, to what extent?"
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"It was against that background that the
judge took the view that a sentence of around 20 years, previously
thought to be the upper end of the bracket for offences of attempted
murder involving gangland shooting or other serious professional crime
involving firearms, would now be disproportionately low, in the light
of the 30 year starting point in schedule 21."
CLEAN_00006,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1358.html,"Any right-thinking member of the public would consider
there was an objectionable disparity between the the new levels of
sentence for murder and the existing levels of sentence for attempted
murder."
