case_id,label
NEG_00000,encounter
NEG_00000,prior_conflict
NEG_00000,prior_threats
NEG_00000,planning_premeditation
NEG_00000,weapon_present
NEG_00000,weapon_firearm
NEG_00000,weapon_sharp
NEG_00000,weapon_blunt
NEG_00000,poisoning
NEG_00000,strangulation
NEG_00000,assault_method_stabbing
NEG_00000,assault_method_shooting
NEG_00000,assault_method_blunt_force
NEG_00000,location_private_dwelling
NEG_00000,location_public_space
NEG_00000,motive_financial_gain
NEG_00000,motive_jealousy_revenge
NEG_00000,defendant_intoxicated
NEG_00000,victim_intoxicated
NEG_00000,concealment_actions
NEG_00000,disposal_of_weapon
NEG_00000,flight_after_offence
NEG_00000,alibi_claim
NEG_00000,joint_enterprise_presence
NEG_00000,withdrawal_from_joint_enterprise
NEG_00000,abduction
NEG_00000,tied_restraint
NEG_00000,weapon_petrol_fire
NEG_00000,post_offence_burial
NEG_00000,boasting_admissions
NEG_00000,confession_third_party
NEG_00000,prior_assault
NEG_00000,cctv_presence
NEG_00000,cctv_attack_visible
NEG_00000,eyewitness_identification
NEG_00000,eyewitness_heard_threat
NEG_00000,dna_match_victim_on_defendant
NEG_00000,dna_match_defendant_on_weapon
NEG_00000,fingerprint_match_on_weapon
NEG_00000,gunshot_residue_gsr
NEG_00000,blood_spatter_pattern_consistent
NEG_00000,injury_defensive_wounds
NEG_00000,wound_sharp_force
NEG_00000,wound_blunt_force
NEG_00000,time_of_death_window_narrow
NEG_00000,phone_cell_site_near_scene
NEG_00000,call_logs_prior_contact
NEG_00000,messages_prior_threats
NEG_00000,search_history_weapons_or_poison
NEG_00000,purchase_record_weapon
NEG_00000,financial_transactions_gain
NEG_00000,confession_or_admission
NEG_00000,inconsistent_statements
NEG_00000,witness_self_defence_statements
NEG_00000,expert_opinion_diminished_resp
NEG_00000,medical_history_mental_impairment
NEG_00000,paragraph_marker
NEG_00000,actus_reus_killing
NEG_00000,unlawful_killing
NEG_00000,causation
NEG_00000,mens_rea_intent_to_kill
NEG_00000,mens_rea_intent_gbh
NEG_00000,self_defence_legal
NEG_00000,insanity
NEG_00000,diminished_responsibility
NEG_00000,loss_of_control
NEG_00000,duress_not_available_murder
NEG_00000,accessory_or_complicity
NEG_00000,withdrawal_effective
NEG_00000,manslaughter_diminished_resp
NEG_00000,manslaughter_loss_of_control
NEG_00000,manslaughter_unlawful_act
NEG_00000,manslaughter_gross_negligence
NEG_00000,lawful_killing_self_defence
NEG_00001,encounter
NEG_00001,prior_conflict
NEG_00001,prior_threats
NEG_00001,planning_premeditation
NEG_00001,weapon_present
NEG_00001,weapon_firearm
NEG_00001,weapon_sharp
NEG_00001,weapon_blunt
NEG_00001,poisoning
NEG_00001,strangulation
NEG_00001,assault_method_stabbing
NEG_00001,assault_method_blunt_force
NEG_00001,location_private_dwelling
NEG_00001,motive_financial_gain
